iso2,year,variable,value
AD,1989,new_sp,
AD,1990,new_sp,
AD,1991,new_sp,
AD,1992,new_sp,
AD,1993,new_sp,15.0
AD,1994,new_sp,24.0
AD,1996,new_sp,8.0
AD,1997,new_sp,17.0
AD,1998,new_sp,1.0
AD,1999,new_sp,4.0
AD,2000,new_sp,1.0
AD,2001,new_sp,3.0
AD,2002,new_sp,2.0
AD,2003,new_sp,7.0
AD,2004,new_sp,3.0
AD,2005,new_sp,5.0
AD,2006,new_sp,8.0
AD,2007,new_sp,2.0
AD,2008,new_sp,3.0
AE,1980,new_sp,
AE,1981,new_sp,
AE,1982,new_sp,
AE,1983,new_sp,
AE,1984,new_sp,
AE,1985,new_sp,
AE,1986,new_sp,
AE,1987,new_sp,
AE,1988,new_sp,
AE,1989,new_sp,
AE,1990,new_sp,
AE,1991,new_sp,
AE,1992,new_sp,
AE,1994,new_sp,
AE,1996,new_sp,
AE,1998,new_sp,
AE,1999,new_sp,31.0
AE,2000,new_sp,73.0
AE,2001,new_sp,69.0
AE,2002,new_sp,57.0
AE,2003,new_sp,77.0
AE,2004,new_sp,57.0
AE,2005,new_sp,62.0
AE,2006,new_sp,52.0
AE,2007,new_sp,56.0
AE,2008,new_sp,50.0
AF,1980,new_sp,
AF,1981,new_sp,
AF,1982,new_sp,
AF,1983,new_sp,
AF,1984,new_sp,
AF,1985,new_sp,
AF,1986,new_sp,
AF,1987,new_sp,
AF,1988,new_sp,
AF,1989,new_sp,
AF,1990,new_sp,
AF,1991,new_sp,
AF,1997,new_sp,618.0
AF,1998,new_sp,1833.0
AF,1999,new_sp,1669.0
AF,2000,new_sp,2892.0
AF,2001,new_sp,4639.0
AF,2002,new_sp,6509.0
AF,2003,new_sp,6510.0
AF,2004,new_sp,8273.0
AF,2005,new_sp,9949.0
AF,2006,new_sp,12468.0
AF,2007,new_sp,13213.0
AF,2008,new_sp,13136.0
AG,1980,new_sp,
AG,1981,new_sp,
AG,1982,new_sp,
AG,1983,new_sp,
AG,1984,new_sp,
AG,1985,new_sp,
AG,1986,new_sp,
AG,1987,new_sp,
AG,1988,new_sp,
AG,1989,new_sp,
AG,1990,new_sp,
AG,1991,new_sp,
AG,1992,new_sp,
AG,1995,new_sp,
AG,1996,new_sp,2.0
AG,1997,new_sp,
AG,1998,new_sp,
AG,1999,new_sp,1.0
AG,2000,new_sp,3.0
AG,2001,new_sp,1.0
AG,2002,new_sp,2.0
AG,2003,new_sp,1.0
AG,2004,new_sp,
AG,2005,new_sp,6.0
AG,2006,new_sp,4.0
AG,2007,new_sp,2.0
AG,2008,new_sp,1.0
AI,1980,new_sp,
AI,1981,new_sp,
AI,1982,new_sp,
AI,1983,new_sp,
AI,1984,new_sp,
AI,1985,new_sp,
AI,1986,new_sp,
AI,1987,new_sp,
AI,1988,new_sp,
AI,1989,new_sp,
AI,1990,new_sp,
AI,1991,new_sp,
AI,1992,new_sp,
AI,1995,new_sp,0.0
AI,1997,new_sp,0.0
AI,2001,new_sp,0.0
AI,2002,new_sp,0.0
AI,2003,new_sp,
AI,2004,new_sp,0.0
AI,2006,new_sp,0.0
AI,2007,new_sp,0.0
AI,2008,new_sp,
AL,1980,new_sp,
AL,1981,new_sp,
AL,1982,new_sp,
AL,1983,new_sp,
AL,1984,new_sp,
AL,1985,new_sp,
AL,1986,new_sp,
AL,1987,new_sp,
AL,1988,new_sp,
AL,1989,new_sp,
AL,1990,new_sp,
AL,1991,new_sp,
AL,1994,new_sp,250.0
AL,1995,new_sp,139.0
AL,1996,new_sp,173.0
AL,1997,new_sp,241.0
AL,1998,new_sp,212.0
AL,1999,new_sp,168.0
AL,2000,new_sp,171.0
AL,2001,new_sp,171.0
AL,2002,new_sp,225.0
AL,2003,new_sp,211.0
AL,2004,new_sp,201.0
AL,2005,new_sp,196.0
AL,2006,new_sp,186.0
AL,2007,new_sp,165.0
AL,2008,new_sp,170.0
AM,1980,new_sp,
AM,1981,new_sp,
AM,1982,new_sp,
AM,1983,new_sp,
AM,1984,new_sp,
AM,1985,new_sp,
AM,1986,new_sp,
AM,1987,new_sp,
AM,1988,new_sp,
AM,1989,new_sp,
AM,1990,new_sp,
AM,1991,new_sp,
AM,1992,new_sp,
AM,1993,new_sp,
AM,1994,new_sp,319.0
AM,1995,new_sp,436.0
AM,1996,new_sp,327.0
AM,1997,new_sp,400.0
AM,1998,new_sp,475.0
AM,1999,new_sp,576.0
AM,2000,new_sp,621.0
AM,2001,new_sp,572.0
AM,2002,new_sp,511.0
AM,2003,new_sp,575.0
AM,2004,new_sp,602.0
AM,2005,new_sp,581.0
AM,2006,new_sp,580.0
AM,2007,new_sp,497.0
AM,2008,new_sp,487.0
AN,1996,new_sp,3.0
AN,1997,new_sp,5.0
AN,1998,new_sp,6.0
AN,1999,new_sp,2.0
AN,2000,new_sp,2.0
AN,2001,new_sp,7.0
AN,2002,new_sp,9.0
AN,2003,new_sp,4.0
AN,2004,new_sp,8.0
AN,2005,new_sp,
AN,2006,new_sp,5.0
AN,2007,new_sp,
AN,2008,new_sp,
AO,1980,new_sp,
AO,1981,new_sp,
AO,1982,new_sp,
AO,1983,new_sp,
AO,1984,new_sp,
AO,1985,new_sp,
AO,1986,new_sp,
AO,1987,new_sp,
AO,1988,new_sp,
AO,1989,new_sp,
AO,1990,new_sp,
AO,1991,new_sp,
AO,1992,new_sp,
AO,1993,new_sp,4874.0
AO,1994,new_sp,4337.0
AO,1995,new_sp,3804.0
AO,1996,new_sp,8016.0
AO,1997,new_sp,8246.0
AO,1998,new_sp,7333.0
AO,1999,new_sp,7379.0
AO,2000,new_sp,9053.0
AO,2001,new_sp,11923.0
AO,2002,new_sp,18087.0
AO,2003,new_sp,18971.0
AO,2004,new_sp,20301.0
AO,2005,new_sp,20410.0
AO,2006,new_sp,21499.0
AO,2007,new_sp,21422.0
AO,2008,new_sp,22562.0
AR,1980,new_sp,
AR,1981,new_sp,
AR,1982,new_sp,
AR,1983,new_sp,
AR,1984,new_sp,
AR,1985,new_sp,
AR,1986,new_sp,
AR,1987,new_sp,
AR,1988,new_sp,
AR,1989,new_sp,
AR,1990,new_sp,
AR,1991,new_sp,
AR,1992,new_sp,
AR,1993,new_sp,5937.0
AR,1994,new_sp,5696.0
AR,1995,new_sp,5698.0
AR,1996,new_sp,5787.0
AR,1997,new_sp,5307.0
AR,1998,new_sp,5186.0
AR,1999,new_sp,4830.0
AR,2000,new_sp,4749.0
AR,2001,new_sp,5595.0
AR,2002,new_sp,5498.0
AR,2003,new_sp,4961.0
AR,2004,new_sp,4760.0
AR,2005,new_sp,4709.0
AR,2006,new_sp,4834.0
AR,2007,new_sp,4985.0
AR,2008,new_sp,4758.0
AS,1980,new_sp,
AS,1981,new_sp,
AS,1982,new_sp,
AS,1983,new_sp,
AS,1984,new_sp,
AS,1985,new_sp,
AS,1986,new_sp,
AS,1987,new_sp,
AS,1988,new_sp,
AS,1989,new_sp,
AS,1990,new_sp,
AS,1991,new_sp,
AS,1992,new_sp,
AS,1993,new_sp,1.0
AS,1994,new_sp,4.0
AS,1995,new_sp,
AS,1996,new_sp,0.0
AS,1997,new_sp,6.0
AS,1998,new_sp,2.0
AS,1999,new_sp,3.0
AS,2000,new_sp,2.0
AS,2001,new_sp,2.0
AS,2002,new_sp,1.0
AS,2003,new_sp,2.0
AS,2004,new_sp,2.0
AS,2005,new_sp,3.0
AS,2006,new_sp,3.0
AS,2007,new_sp,0.0
AS,2008,new_sp,0.0
AT,1980,new_sp,
AT,1981,new_sp,
AT,1982,new_sp,
AT,1983,new_sp,
AT,1984,new_sp,
AT,1985,new_sp,
AT,1986,new_sp,
AT,1987,new_sp,
AT,1988,new_sp,
AT,1989,new_sp,
AT,1990,new_sp,
AT,1991,new_sp,
AT,1992,new_sp,
AT,1993,new_sp,
AT,1994,new_sp,
AT,1995,new_sp,467.0
AT,1996,new_sp,442.0
AT,1997,new_sp,434.0
AT,1998,new_sp,381.0
AT,1999,new_sp,323.0
AT,2000,new_sp,324.0
