country,year,sex,age,cases
AE,1980,f,0-4,
AE,1980,f,5-14,
AE,1980,f,0-14,
AE,1980,f,1524,
AE,1980,f,25-34,
AE,1980,f,35-44,
AE,1980,f,45-54,
AE,1980,f,55-64,
AE,1980,f,65+,
AE,1980,f,undefined,
AE,1980,m,0-4,
AE,1980,m,5-14,
AE,1980,m,0-14,
AE,1980,m,1524,
AE,1980,m,25-34,
AE,1980,m,35-44,
AE,1980,m,45-54,
AE,1980,m,55-64,
AE,1980,m,65+,
AE,1980,m,undefined,
AE,1980,s,all,
AF,1980,f,0-4,
AF,1980,f,5-14,
AF,1980,f,0-14,
AF,1980,f,1524,
AF,1980,f,25-34,
AF,1980,f,35-44,
AF,1980,f,45-54,
AF,1980,f,55-64,
AF,1980,f,65+,
AF,1980,f,undefined,
AF,1980,m,0-4,
AF,1980,m,5-14,
AF,1980,m,0-14,
AF,1980,m,1524,
AF,1980,m,25-34,
AF,1980,m,35-44,
AF,1980,m,45-54,
AF,1980,m,55-64,
AF,1980,m,65+,
AF,1980,m,undefined,
AF,1980,s,all,
AG,1980,f,0-4,
AG,1980,f,5-14,
AG,1980,f,0-14,
AG,1980,f,1524,
AG,1980,f,25-34,
AG,1980,f,35-44,
AG,1980,f,45-54,
AG,1980,f,55-64,
AG,1980,f,65+,
AG,1980,f,undefined,
AG,1980,m,0-4,
AG,1980,m,5-14,
AG,1980,m,0-14,
AG,1980,m,1524,
AG,1980,m,25-34,
AG,1980,m,35-44,
AG,1980,m,45-54,
AG,1980,m,55-64,
AG,1980,m,65+,
AG,1980,m,undefined,
AG,1980,s,all,
AI,1980,f,0-4,
AI,1980,f,5-14,
AI,1980,f,0-14,
AI,1980,f,1524,
AI,1980,f,25-34,
AI,1980,f,35-44,
AI,1980,f,45-54,
AI,1980,f,55-64,
AI,1980,f,65+,
AI,1980,f,undefined,
AI,1980,m,0-4,
AI,1980,m,5-14,
AI,1980,m,0-14,
AI,1980,m,1524,
AI,1980,m,25-34,
AI,1980,m,35-44,
AI,1980,m,45-54,
AI,1980,m,55-64,
AI,1980,m,65+,
AI,1980,m,undefined,
AI,1980,s,all,
AL,1980,f,0-4,
AL,1980,f,5-14,
AL,1980,f,0-14,
AL,1980,f,1524,
AL,1980,f,25-34,
AL,1980,f,35-44,
AL,1980,f,45-54,
AL,1980,f,55-64,
AL,1980,f,65+,
AL,1980,f,undefined,
AL,1980,m,0-4,
AL,1980,m,5-14,
AL,1980,m,0-14,
AL,1980,m,1524,
AL,1980,m,25-34,
AL,1980,m,35-44,
AL,1980,m,45-54,
AL,1980,m,55-64,
AL,1980,m,65+,
AL,1980,m,undefined,
AL,1980,s,all,
AM,1980,f,0-4,
AM,1980,f,5-14,
AM,1980,f,0-14,
AM,1980,f,1524,
AM,1980,f,25-34,
AM,1980,f,35-44,
AM,1980,f,45-54,
AM,1980,f,55-64,
AM,1980,f,65+,
AM,1980,f,undefined,
AM,1980,m,0-4,
AM,1980,m,5-14,
AM,1980,m,0-14,
AM,1980,m,1524,
AM,1980,m,25-34,
AM,1980,m,35-44,
AM,1980,m,45-54,
AM,1980,m,55-64,
AM,1980,m,65+,
AM,1980,m,undefined,
AM,1980,s,all,
AO,1980,f,0-4,
AO,1980,f,5-14,
AO,1980,f,0-14,
AO,1980,f,1524,
AO,1980,f,25-34,
AO,1980,f,35-44,
AO,1980,f,45-54,
AO,1980,f,55-64,
AO,1980,f,65+,
AO,1980,f,undefined,
AO,1980,m,0-4,
AO,1980,m,5-14,
AO,1980,m,0-14,
AO,1980,m,1524,
AO,1980,m,25-34,
AO,1980,m,35-44,
AO,1980,m,45-54,
AO,1980,m,55-64,
AO,1980,m,65+,
AO,1980,m,undefined,
AO,1980,s,all,
AR,1980,f,0-4,
AR,1980,f,5-14,
AR,1980,f,0-14,
AR,1980,f,1524,
AR,1980,f,25-34,
AR,1980,f,35-44,
AR,1980,f,45-54,
AR,1980,f,55-64,
AR,1980,f,65+,
AR,1980,f,undefined,
AR,1980,m,0-4,
AR,1980,m,5-14,
AR,1980,m,0-14,
AR,1980,m,1524,
AR,1980,m,25-34,
AR,1980,m,35-44,
AR,1980,m,45-54,
AR,1980,m,55-64,
AR,1980,m,65+,
AR,1980,m,undefined,
AR,1980,s,all,
AS,1980,f,0-4,
AS,1980,f,5-14,
AS,1980,f,0-14,
AS,1980,f,1524,
AS,1980,f,25-34,
AS,1980,f,35-44,
AS,1980,f,45-54,
AS,1980,f,55-64,
AS,1980,f,65+,
AS,1980,f,undefined,
AS,1980,m,0-4,
AS,1980,m,5-14,
AS,1980,m,0-14,
AS,1980,m,1524,
AS,1980,m,25-34,
AS,1980,m,35-44,
AS,1980,m,45-54,
AS,1980,m,55-64,
AS,1980,m,65+,
AS,1980,m,undefined,
AS,1980,s,all,
AT,1980,f,0-4,
AT,1980,f,5-14,
AT,1980,f,0-14,
AT,1980,f,1524,
AT,1980,f,25-34,
AT,1980,f,35-44,
AT,1980,f,45-54,
AT,1980,f,55-64,
AT,1980,f,65+,
AT,1980,f,undefined,
AT,1980,m,0-4,
AT,1980,m,5-14,
AT,1980,m,0-14,
AT,1980,m,1524,
AT,1980,m,25-34,
AT,1980,m,35-44,
AT,1980,m,45-54,
AT,1980,m,55-64,
AT,1980,m,65+,
AT,1980,m,undefined,
AT,1980,s,all,
AU,1980,f,0-4,
AU,1980,f,5-14,
AU,1980,f,0-14,
AU,1980,f,1524,
AU,1980,f,25-34,
AU,1980,f,35-44,
AU,1980,f,45-54,
AU,1980,f,55-64,
AU,1980,f,65+,
AU,1980,f,undefined,
AU,1980,m,0-4,
AU,1980,m,5-14,
AU,1980,m,0-14,
AU,1980,m,1524,
AU,1980,m,25-34,
AU,1980,m,35-44,
AU,1980,m,45-54,
AU,1980,m,55-64,
AU,1980,m,65+,
AU,1980,m,undefined,
AU,1980,s,all,
AZ,1980,f,0-4,
AZ,1980,f,5-14,
AZ,1980,f,0-14,
AZ,1980,f,1524,
AZ,1980,f,25-34,
AZ,1980,f,35-44,
AZ,1980,f,45-54,
AZ,1980,f,55-64,
AZ,1980,f,65+,
AZ,1980,f,undefined,
AZ,1980,m,0-4,
AZ,1980,m,5-14,
AZ,1980,m,0-14,
AZ,1980,m,1524,
AZ,1980,m,25-34,
AZ,1980,m,35-44,
AZ,1980,m,45-54,
AZ,1980,m,55-64,
AZ,1980,m,65+,
AZ,1980,m,undefined,
AZ,1980,s,all,
BA,1980,f,0-4,
BA,1980,f,5-14,
BA,1980,f,0-14,
BA,1980,f,1524,
BA,1980,f,25-34,
BA,1980,f,35-44,
BA,1980,f,45-54,
BA,1980,f,55-64,
BA,1980,f,65+,
BA,1980,f,undefined,
BA,1980,m,0-4,
BA,1980,m,5-14,
BA,1980,m,0-14,
BA,1980,m,1524,
BA,1980,m,25-34,
BA,1980,m,35-44,
BA,1980,m,45-54,
BA,1980,m,55-64,
BA,1980,m,65+,
BA,1980,m,undefined,
BA,1980,s,all,
BB,1980,f,0-4,
BB,1980,f,5-14,
BB,1980,f,0-14,
BB,1980,f,1524,
BB,1980,f,25-34,
BB,1980,f,35-44,
BB,1980,f,45-54,
BB,1980,f,55-64,
BB,1980,f,65+,
BB,1980,f,undefined,
BB,1980,m,0-4,
BB,1980,m,5-14,
BB,1980,m,0-14,
BB,1980,m,1524,
BB,1980,m,25-34,
BB,1980,m,35-44,
BB,1980,m,45-54,
BB,1980,m,55-64,
BB,1980,m,65+,
BB,1980,m,undefined,
BB,1980,s,all,
BD,1980,f,0-4,
BD,1980,f,5-14,
BD,1980,f,0-14,
BD,1980,f,1524,
BD,1980,f,25-34,
BD,1980,f,35-44,
BD,1980,f,45-54,
BD,1980,f,55-64,
BD,1980,f,65+,
BD,1980,f,undefined,
BD,1980,m,0-4,
BD,1980,m,5-14,
BD,1980,m,0-14,
BD,1980,m,1524,
BD,1980,m,25-34,
BD,1980,m,35-44,
BD,1980,m,45-54,
BD,1980,m,55-64,
BD,1980,m,65+,
BD,1980,m,undefined,
BD,1980,s,all,
BE,1980,f,0-4,
BE,1980,f,5-14,
BE,1980,f,0-14,
BE,1980,f,1524,
BE,1980,f,25-34,
BE,1980,f,35-44,
BE,1980,f,45-54,
BE,1980,f,55-64,
BE,1980,f,65+,
BE,1980,f,undefined,
BE,1980,m,0-4,
BE,1980,m,5-14,
BE,1980,m,0-14,
BE,1980,m,1524,
BE,1980,m,25-34,
BE,1980,m,35-44,
BE,1980,m,45-54,
BE,1980,m,55-64,
BE,1980,m,65+,
BE,1980,m,undefined,
BE,1980,s,all,
BF,1980,f,0-4,
BF,1980,f,5-14,
BF,1980,f,0-14,
BF,1980,f,1524,
BF,1980,f,25-34,
BF,1980,f,35-44,
BF,1980,f,45-54,
BF,1980,f,55-64,
BF,1980,f,65+,
BF,1980,f,undefined,
BF,1980,m,0-4,
BF,1980,m,5-14,
BF,1980,m,0-14,
BF,1980,m,1524,
BF,1980,m,25-34,
BF,1980,m,35-44,
BF,1980,m,45-54,
BF,1980,m,55-64,
BF,1980,m,65+,
BF,1980,m,undefined,
BF,1980,s,all,
BG,1980,f,0-4,
BG,1980,f,5-14,
BG,1980,f,0-14,
BG,1980,f,1524,
BG,1980,f,25-34,
BG,1980,f,35-44,
BG,1980,f,45-54,
BG,1980,f,55-64,
BG,1980,f,65+,
BG,1980,f,undefined,
BG,1980,m,0-4,
BG,1980,m,5-14,
BG,1980,m,0-14,
BG,1980,m,1524,
BG,1980,m,25-34,
BG,1980,m,35-44,
BG,1980,m,45-54,
BG,1980,m,55-64,
BG,1980,m,65+,
BG,1980,m,undefined,
BG,1980,s,all,
BH,1980,f,0-4,
